step,time_s,picard_iterations,picard_delta_temperature_C,picard_delta_moisture_kgkg,linear_normalized_inf_residual,moisture_balance_residual,energy_balance_residual
1,0.250000,4,3.090861e-13,1.554312e-14,2.660167e-16,-3.468203e-20,-8.783979e-12
2,0.500000,4,2.629008e-13,4.929390e-14,3.353050e-16,6.666414e-20,-3.828779e-11
3,0.750000,4,5.009326e-13,2.930989e-14,3.335911e-16,6.260103e-21,-1.071129e-10
4,1.000000,4,5.577760e-13,3.952394e-14,2.671921e-16,-2.915646e-20,1.037240e-10
5,1.250000,4,4.796163e-13,3.153033e-14,3.356364e-16,-5.514317e-20,3.981315e-11
6,1.500000,4,6.039613e-13,3.863576e-14,3.346111e-16,-4.347000e-20,-5.576793e-12
7,1.750000,4,5.151435e-13,3.419487e-14,4.018573e-16,-1.235609e-19,-6.299899e-11
8,2.000000,4,5.897505e-13,3.597123e-14,3.351317e-16,-3.233284e-20,-1.779436e-10
9,2.250000,4,5.613288e-13,3.552714e-14,2.682951e-16,-1.000558e-20,-1.710842e-10
10,2.500000,4,5.684342e-13,3.685940e-14,3.355952e-16,-1.421427e-19,3.408190e-12
11,2.750000,4,3.836931e-13,3.375078e-14,3.359919e-16,-1.290402e-21,-1.450068e-10
12,3.000000,4,5.435652e-13,3.286260e-14,4.032123e-16,-1.153024e-19,-1.483372e-12
13,3.250000,4,4.831691e-13,3.286260e-14,3.362079e-16,-6.016581e-20,5.601900e-11
14,3.500000,4,4.796163e-13,3.463896e-14,3.363937e-16,-1.466426e-20,4.094083e-11
15,3.750000,4,6.536993e-13,3.241851e-14,3.365768e-16,9.786539e-20,-7.915736e-11
16,4.000000,4,4.867218e-13,3.330669e-14,3.367511e-16,6.304440e-20,2.987437e-13
17,4.250000,4,4.369838e-13,3.064216e-14,3.369222e-16,1.462323e-19,7.979738e-11
18,4.500000,4,3.943512e-13,2.797762e-14,3.370759e-16,7.358599e-20,8.120253e-11
19,4.750000,4,3.161915e-13,3.108624e-14,3.372483e-16,2.633743e-21,8.557667e-11
20,5.000000,4,4.760636e-13,2.842171e-14,4.048851e-16,3.744150e-20,8.198189e-11
21,5.250000,4,3.907985e-13,3.375078e-14,3.375581e-16,-2.134788e-20,4.431264e-11
22,5.500000,4,5.222489e-13,3.153033e-14,3.377063e-16,1.031991e-19,4.287791e-11
23,5.750000,4,4.050094e-13,2.664535e-14,3.378540e-16,-1.114113e-19,-4.907796e-11
24,6.000000,4,3.410605e-13,2.975398e-14,3.379950e-16,9.032812e-21,6.996569e-11
25,6.250000,4,4.973799e-13,2.398082e-14,3.381361e-16,6.453332e-20,1.393632e-10
26,6.500000,4,4.192202e-13,2.708944e-14,3.382723e-16,2.666169e-20,2.829743e-10
27,6.750000,4,3.694822e-13,2.886580e-14,3.384069e-16,8.040196e-20,1.673476e-11
28,7.000000,4,4.725109e-13,2.842171e-14,3.385398e-16,7.925714e-20,7.831228e-11
29,7.250000,4,5.577760e-13,2.664535e-14,3.366495e-16,5.029258e-21,-3.780150e-11
30,7.500000,4,4.263256e-13,2.353673e-14,4.065567e-16,1.347974e-20,1.562388e-11
31,7.750000,4,4.405365e-13,2.353673e-14,3.389140e-16,3.573420e-22,-6.185157e-12
32,8.000000,4,5.364598e-13,2.797762e-14,3.390452e-16,2.762122e-20,7.749484e-11
33,8.250000,4,4.583001e-13,2.486900e-14,3.391682e-16,3.591949e-20,4.487015e-11
34,8.500000,4,4.334311e-13,2.309264e-14,3.392865e-16,-4.782427e-20,2.013318e-11
35,8.750000,4,4.583001e-13,2.264855e-14,2.715239e-16,1.859502e-20,4.086245e-13
36,9.000000,4,6.679102e-13,2.486900e-14,3.395219e-16,6.445391e-21,1.055187e-10
37,9.250000,4,6.110668e-13,2.264855e-14,3.396284e-16,2.195006e-20,4.384205e-11
38,9.500000,4,4.121148e-13,2.309264e-14,3.397494e-16,-6.459288e-20,3.484332e-11
39,9.750000,4,3.907985e-13,2.442491e-14,3.369153e-16,-6.408334e-20,1.545963e-11
40,10.000000,4,3.730349e-13,2.531308e-14,3.399711e-16,-1.009822e-20,-6.813689e-12
41,10.250000,4,4.689582e-13,1.820766e-14,3.400806e-16,3.437101e-20,3.425217e-11
42,10.500000,4,5.222489e-13,2.486900e-14,3.401887e-16,2.605950e-20,-1.938562e-10
43,10.750000,4,5.080381e-13,2.264855e-14,3.402876e-16,1.700485e-19,1.068301e-10
44,11.000000,4,4.405365e-13,2.131628e-14,3.403998e-16,6.021875e-20,7.619611e-11
45,11.250000,4,3.872458e-13,1.953993e-14,3.405045e-16,1.058791e-22,1.234694e-10
46,11.500000,4,3.694822e-13,2.264855e-14,2.724851e-16,7.537931e-20,2.853515e-11
47,11.750000,4,4.192202e-13,1.820766e-14,3.407082e-16,8.071959e-20,1.536806e-11
48,12.000000,4,8.242296e-13,2.042810e-14,3.408038e-16,1.303240e-19,-3.164759e-11
49,12.250000,4,4.867218e-13,2.087219e-14,3.409026e-16,-3.711063e-20,-1.780152e-12
