step,time_s,picard_iterations,picard_delta_temperature_C,picard_delta_moisture_kgkg,linear_normalized_inf_residual,moisture_balance_residual,energy_balance_residual
63,31.500000,4,8.277823e-13,4.085621e-14,3.390446e-16,2.615876e-20,1.228997e-11
64,32.000000,4,8.029133e-13,4.174439e-14,3.390677e-16,-1.860826e-20,1.065897e-11
65,32.500000,4,6.110668e-13,3.996803e-14,3.652574e-16,-7.808585e-21,1.764225e-11
66,33.000000,4,7.602807e-13,3.907985e-14,3.391131e-16,1.411766e-19,-1.176865e-10
67,33.500000,4,1.008971e-12,3.641532e-14,3.391354e-16,7.477713e-21,-1.002709e-11
68,34.000000,4,7.425172e-13,3.685940e-14,2.925094e-16,-2.296915e-20,8.947115e-11
69,34.500000,4,9.663381e-13,3.863576e-14,2.926096e-16,5.512332e-20,-1.187960e-10
70,35.000000,4,8.064660e-13,3.819167e-14,2.927080e-16,-6.408995e-20,-1.018982e-10
71,35.500000,4,5.861978e-13,3.552714e-14,3.660076e-16,-7.927699e-20,-1.281155e-10
72,36.000000,4,6.927792e-13,3.330669e-14,2.929041e-16,-4.163035e-20,-1.997552e-11
73,36.500000,4,6.643575e-13,3.197442e-14,2.930003e-16,-8.340628e-20,5.008008e-11
74,37.000000,4,9.592327e-13,3.952394e-14,2.930963e-16,8.938183e-20,-8.175660e-11
75,37.500000,4,6.927792e-13,3.153033e-14,3.393049e-16,-5.686370e-20,6.142725e-12
76,38.000000,4,5.471179e-13,3.153033e-14,3.393116e-16,4.880366e-20,5.222275e-11
77,38.500000,4,7.176482e-13,3.774758e-14,2.933805e-16,3.602537e-20,-1.036335e-10
78,39.000000,4,7.567280e-13,3.597123e-14,3.393648e-16,9.691910e-20,2.186801e-11
79,39.500000,4,7.922552e-13,2.842171e-14,2.935669e-16,-2.141405e-20,1.553091e-12
80,40.000000,4,7.212009e-13,2.797762e-14,3.394036e-16,-6.924494e-20,-5.660500e-11
81,40.500000,4,1.030287e-12,2.708944e-14,2.937510e-16,1.045887e-19,4.600106e-11
82,41.000000,4,9.166001e-13,3.108624e-14,3.394416e-16,-9.654852e-21,-1.369697e-10
83,41.500000,4,1.126210e-12,2.531308e-14,2.939321e-16,7.925714e-20,1.378966e-10
84,42.000000,4,7.247536e-13,2.486900e-14,2.940223e-16,-9.662131e-20,2.837297e-11
85,42.500000,4,7.993606e-13,3.330669e-14,2.941117e-16,6.623401e-20,2.645606e-12
86,43.000000,4,7.389644e-13,3.330669e-14,3.395153e-16,9.728967e-20,6.294287e-11
87,43.500000,4,1.030287e-12,2.886580e-14,2.942885e-16,3.958556e-20,-3.707468e-11
88,44.000000,4,9.094947e-13,3.197442e-14,3.395510e-16,-1.494881e-20,1.307285e-11
89,44.500000,4,1.314504e-12,3.463896e-14,3.395561e-16,4.566037e-22,1.640623e-10
90,45.000000,4,6.075140e-13,2.486900e-14,3.395860e-16,-3.247842e-20,3.569506e-11
91,45.500000,4,8.490986e-13,2.664535e-14,2.946367e-16,-1.052174e-20,4.784190e-11
92,46.000000,4,7.993606e-13,3.330669e-14,3.396203e-16,-2.918955e-20,1.341929e-10
93,46.500000,4,6.430412e-13,3.108624e-14,3.396372e-16,-2.112950e-20,-4.515613e-11
94,47.000000,4,8.029133e-13,2.708944e-14,3.396539e-16,7.583592e-21,-4.367132e-11
95,47.500000,4,9.769963e-13,2.309264e-14,3.396705e-16,1.382053e-19,1.991973e-11
96,48.000000,4,6.927792e-13,3.019807e-14,2.950598e-16,3.433792e-20,7.142237e-11
97,48.500000,4,6.217249e-13,2.575717e-14,3.397031e-16,1.707235e-19,3.706738e-11
98,49.000000,4,7.851497e-13,2.442491e-14,3.690331e-16,1.718550e-20,-1.717432e-11
99,49.500000,4,8.988366e-13,2.664535e-14,3.397351e-16,-7.083313e-20,-1.173062e-11
100,50.000000,4,1.428191e-12,2.531308e-14,3.397509e-16,-8.633119e-20,-6.665923e-11
101,50.500000,4,6.679102e-13,1.909584e-14,2.954721e-16,-1.012866e-19,4.751843e-11
102,51.000000,4,9.983125e-13,2.353673e-14,3.397820e-16,1.698764e-19,4.058920e-12
103,51.500000,4,7.105427e-13,2.398082e-14,2.956337e-16,-3.157183e-20,4.491524e-11
104,52.000000,4,9.485746e-13,2.708944e-14,3.696424e-16,1.273858e-20,-2.129433e-11
105,52.500000,4,6.892265e-13,1.776357e-14,3.398275e-16,-9.571472e-20,-8.920004e-12
106,53.000000,4,6.217249e-13,2.708944e-14,2.958735e-16,-1.534850e-19,-9.434328e-11
107,53.500000,4,7.638334e-13,2.042810e-14,2.959523e-16,9.967196e-20,-1.045689e-10
108,54.000000,4,5.400125e-13,1.953993e-14,3.398604e-16,-7.972698e-20,4.198800e-11
109,54.500000,4,7.069900e-13,2.708944e-14,2.961098e-16,-5.240355e-20,6.919407e-11
110,55.000000,4,5.648815e-13,2.531308e-14,3.702341e-16,7.361246e-20,-9.232809e-12
111,55.500000,4,8.455459e-13,2.087219e-14,2.962646e-16,7.256028e-20,-5.127787e-12
112,56.000000,4,7.247536e-13,2.353673e-14,3.399287e-16,8.192397e-20,-7.320700e-12
113,56.500000,4,1.037392e-12,2.797762e-14,2.964190e-16,1.126289e-20,-6.928724e-11
114,57.000000,4,6.714629e-13,3.019807e-14,2.964950e-16,-4.393983e-20,-5.461570e-11
115,57.500000,4,6.323830e-13,2.220446e-14,2.965710e-16,8.439227e-20,-4.104278e-11
116,58.000000,4,6.536993e-13,2.797762e-14,2.966469e-16,-5.717472e-20,3.722217e-11
117,58.500000,4,5.506706e-13,2.664535e-14,2.967224e-16,8.027622e-20,-1.158886e-10
118,59.000000,4,7.887024e-13,2.176037e-14,2.967970e-16,-6.282602e-20,5.095432e-11
119,59.500000,4,1.008971e-12,1.953993e-14,2.968716e-16,-4.469422e-20,-4.452733e-11
120,60.000000,3,2.632206e-11,9.856294e-11,2.969462e-16,-1.149781e-19,1.695538e-11
121,60.500000,3,2.624034e-11,9.375745e-11,2.970203e-16,7.046917e-20,-4.123715e-11
122,61.000000,3,2.585310e-11,8.817747e-11,3.400618e-16,-3.143948e-20,-6.458584e-12
123,61.500000,3,2.591705e-11,8.384005e-11,2.971669e-16,-3.828854e-20,1.290174e-10
124,62.000000,3,2.496847e-11,7.965628e-11,2.972400e-16,-4.862499e-20,-2.105854e-11
125,62.500000,3,2.464162e-11,7.576872e-11,2.973127e-16,1.101275e-19,-1.792499e-11
126,63.000000,3,2.471623e-11,7.198242e-11,2.973847e-16,7.815202e-21,1.925970e-11
127,63.500000,3,2.475886e-11,6.833911e-11,2.974565e-16,-1.453059e-19,-7.634915e-11
128,64.000000,3,2.541611e-11,6.477086e-11,3.401333e-16,-3.407984e-20,-8.186318e-11
129,64.500000,3,2.478018e-11,6.129719e-11,3.401446e-16,-1.375105e-20,5.379830e-11
130,65.000000,3,2.428635e-11,5.788703e-11,2.976703e-16,3.922160e-20,-7.212175e-12
131,65.500000,3,2.521361e-11,5.453771e-11,3.401669e-16,-3.884440e-20,-1.385847e-11
132,66.000000,3,2.479439e-11,5.124745e-11,3.722616e-16,-8.007108e-21,4.424072e-12
133,66.500000,3,2.448175e-11,4.800249e-11,2.978815e-16,-1.310254e-20,6.776585e-11
134,67.000000,3,2.459544e-11,4.561596e-11,2.979508e-16,-7.385069e-20,5.640338e-11
135,67.500000,3,2.397371e-11,4.565681e-11,2.980200e-16,-5.360792e-20,-3.148637e-11
136,68.000000,3,2.455636e-11,4.570788e-11,3.402201e-16,4.898233e-20,1.361560e-10
137,68.500000,3,2.376055e-11,4.575496e-11,2.981582e-16,-4.875072e-20,-5.108708e-11
138,69.000000,3,2.362199e-11,4.579537e-11,2.982264e-16,7.582930e-20,-3.776790e-11
139,69.500000,3,2.357226e-11,4.584066e-11,2.982943e-16,3.366294e-20,-4.703904e-12
140,70.000000,3,2.353318e-11,4.589040e-11,3.402603e-16,-9.437800e-20,3.411810e-11
141,70.500000,3,2.320277e-11,4.594325e-11,2.984300e-16,1.203713e-20,6.996015e-12
142,71.000000,3,2.355804e-11,4.598499e-11,3.402797e-16,4.155755e-20,-4.632222e-11
143,71.500000,3,2.351896e-11,4.603695e-11,2.985640e-16,3.927454e-20,1.013534e-11
144,72.000000,3,2.346567e-11,4.608536e-11,2.986307e-16,5.558654e-21,-1.641814e-11
145,72.500000,3,2.418332e-11,4.613465e-11,2.986973e-16,2.083172e-20,3.611145e-11
146,73.000000,3,2.278000e-11,4.618395e-11,2.987637e-16,-1.065806e-19,-9.801326e-11
147,73.500000,3,2.356870e-11,4.622747e-11,3.403260e-16,1.387678e-19,-3.174350e-12
148,74.000000,3,2.349410e-11,4.628253e-11,2.988947e-16,7.618003e-20,3.073902e-11
149,74.500000,3,2.229328e-11,4.633316e-11,2.989602e-16,-1.731124e-20,3.713135e-11
150,75.000000,3,2.271250e-11,4.638423e-11,2.990255e-16,-1.133171e-19,4.501050e-11
151,75.500000,3,2.233236e-11,4.674616e-11,2.990903e-16,1.305622e-20,-6.413908e-11
152,76.000000,3,2.244960e-11,4.724399e-11,2.991546e-16,5.413070e-21,-6.062928e-11
153,76.500000,3,2.196643e-11,4.775202e-11,3.740223e-16,-5.912025e-20,-1.018376e-10
154,77.000000,3,2.260592e-11,4.824141e-11,2.992831e-16,5.902099e-20,-5.913936e-12
155,77.500000,3,2.180300e-11,4.873302e-11,2.993473e-16,9.535738e-21,-1.349440e-10
156,78.000000,3,2.122391e-11,4.923129e-11,2.994105e-16,8.572238e-20,-1.670110e-10
157,78.500000,3,2.187761e-11,4.971623e-11,3.404006e-16,-1.158053e-20,-1.637235e-11
158,79.000000,3,2.150102e-11,5.019496e-11,3.404179e-16,-1.668787e-19,7.640510e-11
159,79.500000,3,2.070877e-11,5.067680e-11,2.995999e-16,-6.379217e-21,-8.741119e-12
160,80.000000,3,2.138378e-11,5.115375e-11,3.404332e-16,-7.044932e-20,-5.141593e-11
161,80.500000,3,2.120260e-11,5.162804e-11,2.997246e-16,-6.187311e-20,-1.008519e-10
162,81.000000,3,2.142286e-11,5.210099e-11,2.997867e-16,7.173972e-20,2.294620e-11
163,81.500000,3,2.130918e-11,5.257794e-11,3.404554e-16,4.293398e-20,-7.532941e-11
164,82.000000,3,2.056666e-11,5.303402e-11,2.999106e-16,-1.396810e-19,-3.355161e-11
