step,time_s,picard_iterations,picard_final_delta,linear_normalized_inf_residual,moisture_balance_residual,energy_balance_residual
1,0.250000,4,6.661338e-14,1.114889e-16,-2.833590e-20,2.821674e-12
2,0.500000,4,7.949197e-14,1.115831e-16,-1.353267e-20,3.246292e-12
3,0.750000,4,8.615331e-14,1.467745e-16,7.801968e-21,2.239710e-12
4,1.000000,4,8.926193e-14,1.234237e-16,6.743176e-21,-2.867110e-12
5,1.250000,4,9.237056e-14,1.134161e-16,3.758709e-21,1.645912e-12
6,1.500000,4,9.414691e-14,1.601163e-16,2.331326e-20,-2.167279e-12
7,1.750000,4,9.769963e-14,1.118698e-16,1.641126e-21,-3.084429e-12
8,2.000000,4,1.012523e-13,1.134150e-16,1.452529e-20,1.501847e-12
9,2.250000,4,1.030287e-13,1.634504e-16,-1.455838e-21,-1.323894e-12
10,2.500000,4,1.048051e-13,1.119792e-16,-6.968169e-21,1.115082e-12
11,2.750000,4,1.056932e-13,1.120148e-16,-1.523998e-20,-2.900544e-12
12,3.000000,4,1.065814e-13,1.134132e-16,-1.248050e-20,-3.083964e-12
13,3.250000,4,1.065814e-13,1.120843e-16,-9.694557e-21,2.597868e-12
14,3.500000,4,1.070255e-13,9.006266e-17,-9.747496e-21,2.996284e-13
15,3.750000,4,1.079137e-13,1.067404e-16,8.139457e-21,1.870275e-12
16,4.000000,4,1.083578e-13,1.121686e-16,2.166551e-20,1.685735e-13
17,4.250000,4,1.079137e-13,1.121962e-16,-5.227781e-22,-4.660161e-13
18,4.500000,4,1.074696e-13,1.434303e-16,9.436476e-21,4.881567e-12
19,4.750000,4,1.070255e-13,1.167450e-16,1.380399e-20,2.149166e-12
20,5.000000,4,1.070255e-13,1.200799e-16,1.660979e-20,2.205385e-12
21,5.250000,4,1.061373e-13,1.123038e-16,1.707963e-20,2.703317e-12
22,5.500000,4,1.056932e-13,1.500982e-16,1.169964e-20,1.758631e-12
23,5.750000,4,1.056932e-13,1.134069e-16,7.246102e-21,-8.243684e-13
24,6.000000,4,1.048051e-13,1.334191e-16,1.031660e-20,-3.816007e-12
25,6.250000,4,1.039169e-13,1.123949e-16,-9.959255e-21,3.232432e-12
26,6.500000,4,1.034728e-13,1.234112e-16,5.664533e-21,2.551574e-12
27,6.750000,4,1.034728e-13,1.234104e-16,-5.552036e-21,2.545669e-12
28,7.000000,4,1.025846e-13,1.124612e-16,-1.366502e-20,-3.618182e-12
29,7.250000,4,1.021405e-13,1.124831e-16,-1.806562e-20,-1.029430e-12
30,7.500000,4,1.016964e-13,1.134019e-16,4.764560e-22,3.351971e-12
31,7.750000,4,1.008083e-13,1.267425e-16,7.471095e-21,4.972300e-12
32,8.000000,4,1.012523e-13,1.200710e-16,2.357796e-20,-1.724558e-12
33,8.250000,4,9.992007e-14,1.125655e-16,4.122668e-21,-1.515316e-13
34,8.500000,4,9.947598e-14,1.267399e-16,4.777795e-21,-5.210901e-12
35,8.750000,4,9.947598e-14,1.126032e-16,3.917527e-21,-1.674251e-12
36,9.000000,4,9.858780e-14,1.133972e-16,3.699152e-21,5.342275e-12
37,9.250000,4,9.769963e-14,1.133964e-16,6.061580e-21,-2.287434e-12
38,9.500000,4,9.725554e-14,1.126592e-16,-1.852223e-20,-2.164581e-12
39,9.750000,4,9.769963e-14,1.367407e-16,5.604976e-21,-3.413103e-13
40,10.000000,4,9.636736e-14,1.126960e-16,-1.016440e-20,-3.146677e-12
41,10.250000,4,9.636736e-14,1.300684e-16,-4.341044e-21,1.612689e-12
42,10.500000,4,9.547918e-14,1.127326e-16,1.391649e-20,1.451401e-12
43,10.750000,4,9.459100e-14,1.127507e-16,-1.784725e-20,2.305878e-12
44,11.000000,4,9.459100e-14,1.127687e-16,-5.565271e-21,-8.913911e-13
45,11.250000,4,9.370282e-14,1.127851e-16,2.646978e-23,-2.417302e-12
46,11.500000,4,9.370282e-14,1.534080e-16,-1.892589e-21,-2.635878e-13
47,11.750000,4,9.325873e-14,1.167225e-16,-7.735793e-21,1.444074e-12
48,12.000000,4,9.237056e-14,1.128337e-16,2.644331e-20,1.679039e-12
49,12.250000,4,9.148238e-14,1.233903e-16,3.494011e-21,-1.755956e-12
50,12.500000,4,9.148238e-14,1.128658e-16,7.418156e-21,-8.826828e-13
51,12.750000,4,9.103829e-14,1.128818e-16,3.355045e-21,-1.105921e-13
52,13.000000,4,9.103829e-14,1.693466e-16,-1.720536e-21,2.975363e-12
53,13.250000,4,9.015011e-14,1.367252e-16,-1.269226e-20,-5.852818e-13
54,13.500000,4,9.015011e-14,1.129295e-16,-8.880611e-21,-4.357993e-12
55,13.750000,4,8.926193e-14,1.129452e-16,-1.564364e-20,-2.142633e-12
56,14.000000,4,8.881784e-14,1.129609e-16,2.001115e-20,3.953615e-12
57,14.250000,4,8.837375e-14,1.129766e-16,4.579272e-21,2.846126e-12
58,14.500000,4,8.881784e-14,1.133768e-16,7.649766e-21,1.181812e-12
59,14.750000,4,8.837375e-14,1.233795e-16,1.471720e-20,4.580177e-12
60,15.000000,4,8.792966e-14,1.130216e-16,1.218933e-20,-2.357795e-12
61,15.250000,4,8.748557e-14,1.267118e-16,1.374443e-20,2.692284e-12
62,15.500000,4,8.615331e-14,1.267106e-16,-6.696854e-21,-3.043420e-12
63,15.750000,4,8.615331e-14,1.400472e-16,-2.918293e-21,-4.186373e-13
64,16.000000,4,8.615331e-14,1.400459e-16,-8.086518e-21,-3.268497e-13
65,16.250000,4,8.526513e-14,1.130924e-16,-1.819797e-20,5.810630e-14
66,16.500000,4,8.526513e-14,1.131065e-16,3.069171e-20,2.089592e-12
67,16.750000,4,8.482104e-14,1.131205e-16,-5.492479e-22,-1.496026e-14
68,17.000000,4,8.482104e-14,1.033632e-16,-1.809209e-20,-1.778452e-12
69,17.250000,4,8.526513e-14,1.131484e-16,1.244741e-20,2.403494e-13
70,17.500000,4,8.348877e-14,1.400378e-16,2.554334e-21,2.112074e-12
71,17.750000,4,8.393286e-14,1.133628e-16,2.340590e-20,1.419906e-12
72,18.000000,4,8.304468e-14,1.266983e-16,1.226213e-20,-1.505282e-12
73,18.250000,4,8.304468e-14,1.132037e-16,-6.147606e-21,1.245989e-12
74,18.500000,4,8.304468e-14,1.266957e-16,-1.768843e-20,5.251605e-12
75,18.750000,4,8.304468e-14,1.132312e-16,3.017555e-21,3.248041e-12
76,19.000000,4,8.215650e-14,1.133570e-16,-5.492479e-22,2.337061e-12
77,19.250000,4,8.171241e-14,1.132572e-16,-5.982170e-21,2.834538e-12
78,19.500000,4,8.215650e-14,1.132698e-16,-1.613995e-20,2.410433e-12
79,19.750000,4,8.082424e-14,1.266892e-16,-1.762226e-20,-1.560044e-12
80,20.000000,4,8.171241e-14,1.133523e-16,-2.056040e-20,-3.109429e-12
81,20.250000,4,8.038015e-14,1.699615e-16,1.548482e-20,1.039030e-12
82,20.500000,4,8.126833e-14,1.133202e-16,1.394957e-20,6.447620e-13
83,20.750000,4,8.038015e-14,1.133327e-16,-7.206397e-21,1.477957e-12
84,21.000000,4,7.993606e-14,1.133475e-16,-3.096964e-21,7.395473e-14
85,21.250000,4,7.949197e-14,1.700366e-16,-5.055728e-21,-2.416817e-13
86,21.500000,4,7.949197e-14,1.200124e-16,-1.361870e-20,2.945755e-12
87,21.750000,4,7.904788e-14,1.133826e-16,-1.406869e-20,9.930945e-13
88,22.000000,4,7.904788e-14,1.133950e-16,-2.018321e-20,1.663572e-12
89,22.250000,4,7.860379e-14,1.333427e-16,1.270549e-21,1.848105e-12
90,22.500000,4,7.815970e-14,1.701295e-16,-9.502651e-21,1.531109e-12
91,22.750000,4,7.815970e-14,1.200058e-16,-2.468307e-21,4.504327e-12
92,23.000000,4,7.727152e-14,1.701664e-16,1.516718e-20,1.355638e-12
93,23.250000,4,7.771561e-14,1.633375e-16,-2.349193e-21,7.141926e-13
94,23.500000,4,7.771561e-14,1.134687e-16,6.286573e-22,-2.298911e-12
95,23.750000,4,7.727152e-14,1.200003e-16,-1.250697e-20,-4.407169e-13
96,24.000000,4,7.727152e-14,1.433321e-16,3.904954e-20,4.162781e-13
97,24.250000,4,7.682743e-14,1.233308e-16,2.286327e-20,4.447151e-12
98,24.500000,4,7.638334e-14,1.399956e-16,2.118244e-20,5.122985e-13
99,24.750000,4,7.682743e-14,1.135264e-16,1.389002e-20,-4.238929e-12
100,25.000000,4,7.638334e-14,1.135377e-16,-5.671150e-21,-1.957240e-12
101,25.250000,4,7.638334e-14,1.199920e-16,2.646978e-22,1.208908e-12
102,25.500000,4,7.593925e-14,1.135604e-16,6.577740e-21,-2.302325e-13
103,25.750000,4,7.549517e-14,1.135716e-16,7.186545e-21,2.460476e-12
104,26.000000,4,7.593925e-14,1.666496e-16,-7.583592e-21,1.114012e-12
105,26.250000,4,7.549517e-14,1.135942e-16,8.013726e-21,-4.118844e-12
106,26.500000,4,7.505108e-14,1.333165e-16,-1.687448e-21,1.464828e-12
107,26.750000,4,7.460699e-14,1.299820e-16,5.816734e-21,7.029377e-13
108,27.000000,4,7.460699e-14,1.136278e-16,-2.373677e-20,-7.412682e-13
109,27.250000,4,7.460699e-14,1.399773e-16,1.482308e-21,1.059097e-12
110,27.500000,4,7.416290e-14,1.233118e-16,4.208695e-21,-6.438877e-13
111,27.750000,4,7.460699e-14,1.166449e-16,-5.863056e-21,5.175305e-13
112,28.000000,4,7.416290e-14,1.166434e-16,-1.003205e-20,-2.555858e-12
113,28.250000,4,7.416290e-14,1.136834e-16,-2.006409e-20,1.221787e-12
114,28.500000,4,7.416290e-14,1.466338e-16,1.370473e-20,-2.653808e-12
115,28.750000,4,7.371881e-14,1.705582e-16,9.284275e-21,3.814726e-13
116,29.000000,4,7.371881e-14,1.137165e-16,-4.625594e-21,-4.373585e-13
117,29.250000,4,7.371881e-14,1.233011e-16,8.119605e-21,-8.238826e-13
118,29.500000,4,7.327472e-14,1.137375e-16,3.308722e-21,1.011816e-12
119,29.750000,4,7.327472e-14,1.166333e-16,-1.015778e-20,-3.140072e-12
120,30.000000,4,7.283063e-14,1.332935e-16,-1.632524e-20,2.962935e-12
121,30.250000,4,7.283063e-14,1.266272e-16,7.424773e-21,-2.316966e-12
122,30.500000,4,7.238654e-14,1.432868e-16,-4.744708e-21,2.880460e-12
123,30.750000,4,7.194245e-14,1.232917e-16,-9.582060e-21,5.030532e-12
124,31.000000,4,7.238654e-14,1.137995e-16,1.503483e-20,-7.401441e-13
125,31.250000,4,7.194245e-14,1.138097e-16,-8.073283e-21,-1.054767e-12
126,31.500000,4,7.149836e-14,1.232869e-16,-9.482799e-21,2.678413e-14
127,31.750000,4,7.194245e-14,1.199533e-16,-1.085261e-20,1.615819e-12
128,32.000000,4,7.149836e-14,1.399437e-16,-4.466775e-21,-8.887752e-13
129,32.250000,4,7.061018e-14,1.138507e-16,-2.276401e-21,-1.860540e-12
130,32.500000,4,7.105427e-14,1.366081e-16,-6.822586e-21,-2.649381e-12
131,32.750000,4,7.194245e-14,1.138710e-16,-5.221164e-21,1.410205e-12
132,33.000000,4,7.061018e-14,1.138812e-16,-2.289636e-21,-3.943457e-12
133,33.250000,4,7.105427e-14,1.138914e-16,1.594804e-21,4.973244e-13
134,33.500000,4,7.061018e-14,1.199422e-16,1.745682e-20,-3.655604e-12
135,33.750000,4,7.061018e-14,1.139116e-16,1.094525e-20,1.679629e-12
136,34.000000,4,7.061018e-14,1.432605e-16,1.322165e-20,2.958772e-12
137,34.250000,4,7.061018e-14,1.166058e-16,1.631862e-20,-2.625289e-12
138,34.500000,4,7.061018e-14,1.709128e-16,1.052835e-20,-4.493350e-12
139,34.750000,4,7.016610e-14,1.139519e-16,1.291064e-20,-7.466250e-14
140,35.000000,4,7.016610e-14,1.139620e-16,1.667596e-21,-8.044121e-13
141,35.250000,4,6.927792e-14,1.265937e-16,4.142521e-21,-3.665929e-12
142,35.500000,4,6.972201e-14,1.199292e-16,1.083937e-20,4.987399e-13
143,35.750000,4,6.972201e-14,1.465781e-16,8.285041e-21,1.974171e-12
144,36.000000,4,6.927792e-14,1.140002e-16,-1.751638e-20,-6.444845e-13
145,36.250000,4,6.927792e-14,1.365804e-16,2.467645e-20,-8.219259e-13
146,36.500000,4,6.972201e-14,1.165914e-16,9.800436e-21,-2.077782e-13
147,36.750000,4,6.883383e-14,1.532323e-16,1.667596e-21,2.376294e-12
148,37.000000,4,6.883383e-14,1.299125e-16,3.785178e-21,6.264989e-13
149,37.250000,4,6.883383e-14,1.140474e-16,-1.316872e-20,-9.427459e-13
150,37.500000,4,6.838974e-14,1.140568e-16,-4.268252e-21,1.846190e-12
151,37.750000,4,6.838974e-14,1.498927e-16,1.471720e-20,4.659884e-13
152,38.000000,4,6.883383e-14,1.332361e-16,-8.549739e-21,2.288780e-12
153,38.250000,4,6.750156e-14,1.711275e-16,4.400601e-21,1.405431e-12
154,38.500000,4,6.794565e-14,1.140944e-16,4.030024e-21,1.160905e-12
155,38.750000,4,6.838974e-14,1.141037e-16,-2.236696e-21,4.041989e-12
156,39.000000,4,6.794565e-14,1.141131e-16,9.277658e-21,6.581680e-13
157,39.250000,4,6.750156e-14,1.199039e-16,1.494881e-20,-5.655226e-12
158,39.500000,4,6.794565e-14,1.141317e-16,-1.625244e-20,9.942325e-13
159,39.750000,4,6.705747e-14,1.141411e-16,6.988022e-21,1.860262e-12
160,40.000000,4,6.705747e-14,1.141504e-16,-1.118348e-20,2.027933e-12
161,40.250000,4,6.705747e-14,1.198970e-16,8.510034e-21,1.695200e-12
162,40.500000,4,6.705747e-14,1.232257e-16,1.786048e-20,-3.211015e-12
163,40.750000,4,6.750156e-14,1.531973e-16,-8.278424e-21,-3.766154e-13
164,41.000000,4,6.616929e-14,1.141874e-16,-1.273858e-20,1.114886e-12
165,41.250000,4,6.705747e-14,1.141967e-16,-2.479557e-20,-4.344275e-12
166,41.500000,4,6.705747e-14,1.165580e-16,1.394957e-20,3.917144e-13
167,41.750000,4,6.616929e-14,1.142150e-16,-1.972660e-20,-5.407896e-13
168,42.000000,4,6.705747e-14,1.142238e-16,-3.388132e-21,7.840950e-13
169,42.250000,4,6.661338e-14,1.232130e-16,2.108980e-20,-6.259715e-13
170,42.500000,4,6.616929e-14,1.198811e-16,6.154224e-22,3.357870e-13
171,42.750000,4,6.616929e-14,1.165494e-16,1.844282e-20,-1.094569e-12
172,43.000000,4,6.661338e-14,1.232075e-16,2.421985e-21,2.470246e-13
173,43.250000,4,6.572520e-14,1.142675e-16,2.099715e-20,3.836320e-12
174,43.500000,4,6.572520e-14,1.232038e-16,-1.204375e-20,3.995859e-12
175,43.750000,4,6.528111e-14,1.142850e-16,9.330597e-21,6.058487e-13
176,44.000000,4,6.572520e-14,1.142937e-16,2.495438e-20,3.721273e-12
177,44.250000,4,6.572520e-14,1.298576e-16,1.051512e-20,2.302936e-12
178,44.500000,4,6.528111e-14,1.143111e-16,7.007874e-21,-4.209411e-12
179,44.750000,4,6.528111e-14,1.143197e-16,-2.191698e-20,1.685513e-12
180,45.000000,4,6.483702e-14,1.143284e-16,2.051408e-21,-3.092138e-12
181,45.250000,4,6.528111e-14,1.143371e-16,-5.777029e-21,-3.346934e-12
182,45.500000,4,6.483702e-14,1.298477e-16,-1.631200e-20,-4.261036e-13
183,45.750000,4,6.439294e-14,1.143544e-16,1.500175e-20,7.307183e-12
184,46.000000,4,6.528111e-14,1.265144e-16,1.226874e-20,3.573530e-13
185,46.250000,4,6.439294e-14,1.231831e-16,9.780584e-21,-1.243422e-12
186,46.500000,4,6.394885e-14,1.331689e-16,-8.251954e-21,-3.610168e-13
187,46.750000,4,6.483702e-14,1.143888e-16,-1.931632e-20,-7.273349e-13
188,47.000000,4,6.483702e-14,1.143974e-16,-1.748329e-20,1.467493e-12
189,47.250000,4,6.483702e-14,1.716090e-16,2.534481e-21,-2.467027e-12
190,47.500000,4,6.483702e-14,1.144146e-16,7.742411e-22,2.693235e-12
191,47.750000,4,6.394885e-14,1.144232e-16,1.224227e-20,-2.629702e-12
192,48.000000,4,6.439294e-14,1.716476e-16,6.068197e-21,5.138667e-12
193,48.250000,4,6.394885e-14,1.716604e-16,-2.490145e-20,1.028011e-12
194,48.500000,4,6.439294e-14,1.144488e-16,1.343341e-20,-3.547718e-12
195,48.750000,4,6.306067e-14,1.198351e-16,1.164670e-21,-2.456618e-12
196,49.000000,4,6.394885e-14,1.531202e-16,-1.396281e-20,-7.522871e-13
197,49.250000,4,6.394885e-14,1.144738e-16,9.727644e-22,-1.548678e-12
198,49.500000,4,6.350476e-14,1.144820e-16,-2.911676e-22,2.716799e-12
199,49.750000,4,6.306067e-14,1.717352e-16,-5.571889e-21,2.630923e-12
200,50.000000,4,6.306067e-14,1.144983e-16,1.631862e-20,5.816708e-12
201,50.250000,4,6.350476e-14,1.145064e-16,-5.671150e-21,-2.342460e-12
202,50.500000,4,6.306067e-14,1.145145e-16,-3.090347e-21,2.151612e-13
203,50.750000,4,6.350476e-14,1.264764e-16,3.573420e-21,2.849859e-12
204,51.000000,4,6.306067e-14,1.717960e-16,6.729941e-21,-2.780276e-13
205,51.250000,4,6.261658e-14,1.145388e-16,8.701940e-21,-2.330913e-13
206,51.500000,4,6.306067e-14,1.231421e-16,9.423242e-21,-1.561029e-12
207,51.750000,4,6.306067e-14,1.718324e-16,3.917527e-21,1.087658e-12
208,52.000000,4,6.261658e-14,1.145630e-16,1.756270e-20,-9.758028e-13
209,52.250000,4,6.261658e-14,1.145711e-16,1.479661e-20,-2.745359e-12
210,52.500000,4,6.306067e-14,1.718687e-16,-1.390325e-20,-5.165840e-12
211,52.750000,4,6.217249e-14,1.630668e-16,3.566803e-21,1.539102e-12
212,53.000000,4,6.261658e-14,1.145952e-16,3.163139e-21,5.652201e-12
213,53.250000,4,6.172840e-14,1.146032e-16,-2.218829e-20,5.795281e-12
214,53.500000,4,6.172840e-14,1.146113e-16,1.191140e-22,-3.282347e-12
215,53.750000,4,6.217249e-14,1.146193e-16,-2.117582e-22,7.675527e-13
216,54.000000,4,6.172840e-14,1.146273e-16,1.230183e-20,-2.566780e-12
217,54.250000,4,6.217249e-14,1.146353e-16,7.411538e-21,-1.770029e-12
218,54.500000,4,6.217249e-14,1.164628e-16,2.408750e-21,-4.684586e-13
219,54.750000,4,6.217249e-14,1.146513e-16,1.551129e-20,-1.679018e-12
220,55.000000,4,6.172840e-14,1.146593e-16,-1.442603e-21,-7.923107e-13
221,55.250000,4,6.128431e-14,1.146672e-16,9.562208e-21,2.777389e-12
222,55.500000,4,6.128431e-14,1.146752e-16,-3.632977e-21,-3.680972e-12
223,55.750000,4,6.128431e-14,1.146831e-16,-3.374897e-22,-1.963790e-12
224,56.000000,4,6.128431e-14,1.146911e-16,9.601913e-21,8.645862e-14
225,56.250000,4,6.172840e-14,1.146990e-16,-8.787967e-21,-9.916235e-13
226,56.500000,4,6.084022e-14,1.147070e-16,1.548482e-21,1.718570e-12
227,56.750000,4,6.084022e-14,1.230992e-16,-1.757593e-20,-1.495193e-12
228,57.000000,4,6.084022e-14,1.720837e-16,1.266579e-20,-3.496176e-12
229,57.250000,4,6.128431e-14,1.147301e-16,5.743942e-21,-1.589284e-12
230,57.500000,4,6.128431e-14,1.147377e-16,-4.678534e-21,4.224204e-12
231,57.750000,4,6.084022e-14,1.530319e-16,2.723740e-20,5.951628e-13
232,58.000000,4,6.084022e-14,1.264155e-16,-2.820355e-20,-1.202510e-12
233,58.250000,4,6.084022e-14,1.230867e-16,-1.897883e-20,-2.821077e-12
234,58.500000,4,5.995204e-14,1.630039e-16,2.582789e-20,-8.651690e-13
235,58.750000,4,6.039613e-14,1.363886e-16,-1.335400e-20,-5.481754e-12
236,59.000000,4,6.039613e-14,1.264068e-16,-2.611906e-20,-1.481371e-12
237,59.250000,4,6.039613e-14,1.147907e-16,2.682050e-20,-3.020834e-12
238,59.500000,4,6.039613e-14,1.363816e-16,2.884544e-20,4.710371e-12
239,59.750000,4,6.039613e-14,1.164213e-16,-1.786710e-22,-1.506739e-12
240,60.000000,4,5.995204e-14,1.230718e-16,3.555553e-20,-1.710881e-12
241,60.250000,4,5.995204e-14,1.722313e-16,3.371588e-20,-8.102963e-13
242,60.500000,4,6.039613e-14,1.148284e-16,-2.854104e-20,1.462969e-12
243,60.750000,4,5.950795e-14,1.230652e-16,2.537128e-20,-4.594075e-12
244,61.000000,4,5.950795e-14,1.148434e-16,5.293956e-23,7.963630e-13
245,61.250000,4,5.995204e-14,1.463426e-16,-8.867376e-21,2.304601e-12
246,61.500000,4,5.995204e-14,1.148584e-16,4.923379e-21,-1.061901e-12
247,61.750000,4,5.950795e-14,1.263821e-16,-2.223461e-21,-4.078959e-13
248,62.000000,4,5.995204e-14,1.148734e-16,1.813180e-20,1.607742e-12
249,62.250000,4,5.995204e-14,1.148809e-16,-2.954689e-20,1.207395e-12
250,62.500000,4,5.950795e-14,1.723325e-16,3.730915e-20,-4.593964e-12
251,62.750000,4,5.950795e-14,1.363495e-16,1.360547e-20,9.224010e-13
252,63.000000,4,5.950795e-14,1.149033e-16,7.815202e-21,-1.334544e-12
253,63.250000,4,5.906386e-14,1.149107e-16,-2.567569e-21,-5.419915e-12
254,63.500000,4,5.861978e-14,1.723773e-16,-4.420453e-21,-2.055356e-12
255,63.750000,4,5.906386e-14,1.149256e-16,1.864134e-20,-5.227291e-12
256,64.000000,4,5.906386e-14,1.149331e-16,-4.354279e-21,-3.224199e-12
257,64.250000,4,5.906386e-14,1.149405e-16,1.837003e-20,5.729056e-12
258,64.500000,4,5.861978e-14,1.436849e-16,1.038939e-20,3.876316e-12
259,64.750000,4,5.906386e-14,1.149553e-16,-2.031556e-21,2.861156e-12
260,65.000000,4,5.817569e-14,1.149627e-16,1.938911e-21,7.107093e-13
261,65.250000,4,5.906386e-14,1.149701e-16,1.928323e-20,1.578127e-12
262,65.500000,4,5.906386e-14,1.196963e-16,2.012365e-20,-2.098821e-12
263,65.750000,4,5.861978e-14,1.149844e-16,2.726387e-21,1.295491e-12
264,66.000000,4,5.861978e-14,1.163669e-16,4.235165e-20,1.837086e-12
265,66.250000,4,5.861978e-14,1.149986e-16,1.530615e-20,-3.533229e-12
266,66.500000,4,5.906386e-14,1.150057e-16,-1.313563e-20,-2.330081e-12
267,66.750000,4,5.861978e-14,1.363074e-16,1.815165e-20,-8.896772e-13
268,67.000000,4,5.817569e-14,1.329802e-16,-3.851353e-21,5.224488e-12
269,67.250000,4,5.817569e-14,1.150270e-16,2.746240e-21,-2.726375e-12
270,67.500000,4,5.861978e-14,1.150341e-16,8.735027e-22,4.048928e-12
271,67.750000,4,5.728751e-14,1.229993e-16,2.283018e-21,-1.311729e-13
272,68.000000,4,5.817569e-14,1.150483e-16,4.685151e-21,2.814415e-13
273,68.250000,4,5.817569e-14,1.196702e-16,1.035630e-20,-4.996004e-16
274,68.500000,4,5.773160e-14,1.725936e-16,-4.698386e-21,1.958045e-12
275,68.750000,4,5.817569e-14,1.150695e-16,1.907148e-20,4.208967e-12
276,69.000000,4,5.728751e-14,1.726148e-16,-1.324812e-20,4.065137e-12
277,69.250000,4,5.773160e-14,1.150836e-16,2.316106e-21,-9.664491e-14
278,69.500000,4,5.861978e-14,1.329534e-16,-1.174596e-20,2.703393e-14
