record_type,time_s,time_h,radius_cm,r_cm,is_surface,temperature_C,moisture_kgkg
sample_fixed,240,0.06666667,1.9831,1.1000,0,28.0300,2.5500
sample_fixed,240,0.06666667,1.9831,1.2000,0,28.0446,2.5500
sample_fixed,240,0.06666667,1.9831,1.3000,0,28.0653,2.5500
sample_fixed,240,0.06666667,1.9831,1.4000,0,28.0939,2.5500
sample_fixed,240,0.06666667,1.9831,1.5000,0,28.1328,2.5500
sample_fixed,240,0.06666667,1.9831,1.6000,0,28.1846,2.5500
sample_fixed,240,0.06666667,1.9831,1.7000,0,28.2521,2.5500
sample_fixed,240,0.06666667,1.9831,1.8000,0,28.3385,2.5462
sample_fixed,240,0.06666667,1.9831,1.9000,0,28.4470,2.4162
sample_surface,240,0.06666667,1.9831,1.9831,1,28.5585,1.7332
sample_fixed,300,0.08333333,1.9788,0.0000,0,28.0021,2.5500
sample_fixed,300,0.08333333,1.9788,0.1000,0,28.0022,2.5500
sample_fixed,300,0.08333333,1.9788,0.2000,0,28.0027,2.5500
sample_fixed,300,0.08333333,1.9788,0.3000,0,28.0036,2.5500
sample_fixed,300,0.08333333,1.9788,0.4000,0,28.0050,2.5500
sample_fixed,300,0.08333333,1.9788,0.5000,0,28.0072,2.5500
sample_fixed,300,0.08333333,1.9788,0.6000,0,28.0105,2.5500
sample_fixed,300,0.08333333,1.9788,0.7000,0,28.0152,2.5500
sample_fixed,300,0.08333333,1.9788,0.8000,0,28.0219,2.5500
sample_fixed,300,0.08333333,1.9788,0.9000,0,28.0315,2.5500
sample_fixed,300,0.08333333,1.9788,1.0000,0,28.0447,2.5500
sample_fixed,300,0.08333333,1.9788,1.1000,0,28.0628,2.5500
sample_fixed,300,0.08333333,1.9788,1.2000,0,28.0871,2.5500
sample_fixed,300,0.08333333,1.9788,1.3000,0,28.1196,2.5500
sample_fixed,300,0.08333333,1.9788,1.4000,0,28.1622,2.5500
sample_fixed,300,0.08333333,1.9788,1.5000,0,28.2175,2.5500
sample_fixed,300,0.08333333,1.9788,1.6000,0,28.2886,2.5500
sample_fixed,300,0.08333333,1.9788,1.7000,0,28.3795,2.5498
sample_fixed,300,0.08333333,1.9788,1.8000,0,28.4952,2.5389
sample_fixed,300,0.08333333,1.9788,1.9000,0,28.6423,2.3455
sample_surface,300,0.08333333,1.9788,1.9788,1,28.7886,1.6661
sample_fixed,360,0.10000000,1.9746,0.0000,0,28.0067,2.5500
sample_fixed,360,0.10000000,1.9746,0.1000,0,28.0070,2.5500
sample_fixed,360,0.10000000,1.9746,0.2000,0,28.0081,2.5500
sample_fixed,360,0.10000000,1.9746,0.3000,0,28.0101,2.5500
sample_fixed,360,0.10000000,1.9746,0.4000,0,28.0132,2.5500
sample_fixed,360,0.10000000,1.9746,0.5000,0,28.0176,2.5500
sample_fixed,360,0.10000000,1.9746,0.6000,0,28.0239,2.5500
sample_fixed,360,0.10000000,1.9746,0.7000,0,28.0325,2.5500
sample_fixed,360,0.10000000,1.9746,0.8000,0,28.0443,2.5500
sample_fixed,360,0.10000000,1.9746,0.9000,0,28.0601,2.5500
sample_fixed,360,0.10000000,1.9746,1.0000,0,28.0812,2.5500
sample_fixed,360,0.10000000,1.9746,1.1000,0,28.1088,2.5500
sample_fixed,360,0.10000000,1.9746,1.2000,0,28.1449,2.5500
sample_fixed,360,0.10000000,1.9746,1.3000,0,28.1915,2.5500
sample_fixed,360,0.10000000,1.9746,1.4000,0,28.2512,2.5500
sample_fixed,360,0.10000000,1.9746,1.5000,0,28.3269,2.5500
sample_fixed,360,0.10000000,1.9746,1.6000,0,28.4219,2.5500
sample_fixed,360,0.10000000,1.9746,1.7000,0,28.5401,2.5493
sample_fixed,360,0.10000000,1.9746,1.8000,0,28.6851,2.5264
sample_fixed,360,0.10000000,1.9746,1.9000,0,28.8619,2.2712
sample_surface,360,0.10000000,1.9746,1.9746,1,29.0205,1.6098
sample_fixed,420,0.11666667,1.9704,0.0000,0,28.0159,2.5500
sample_fixed,420,0.11666667,1.9704,0.1000,0,28.0166,2.5500
sample_fixed,420,0.11666667,1.9704,0.2000,0,28.0186,2.5500
sample_fixed,420,0.11666667,1.9704,0.3000,0,28.0221,2.5500
sample_fixed,420,0.11666667,1.9704,0.4000,0,28.0274,2.5500
sample_fixed,420,0.11666667,1.9704,0.5000,0,28.0349,2.5500
sample_fixed,420,0.11666667,1.9704,0.6000,0,28.0452,2.5500
sample_fixed,420,0.11666667,1.9704,0.7000,0,28.0589,2.5500
sample_fixed,420,0.11666667,1.9704,0.8000,0,28.0770,2.5500
sample_fixed,420,0.11666667,1.9704,0.9000,0,28.1007,2.5500
sample_fixed,420,0.11666667,1.9704,1.0000,0,28.1312,2.5500
sample_fixed,420,0.11666667,1.9704,1.1000,0,28.1703,2.5500
sample_fixed,420,0.11666667,1.9704,1.2000,0,28.2199,2.5500
sample_fixed,420,0.11666667,1.9704,1.3000,0,28.2823,2.5500
sample_fixed,420,0.11666667,1.9704,1.4000,0,28.3599,2.5500
sample_fixed,420,0.11666667,1.9704,1.5000,0,28.4557,2.5500
sample_fixed,420,0.11666667,1.9704,1.6000,0,28.5728,2.5500
sample_fixed,420,0.11666667,1.9704,1.7000,0,28.7147,2.5481
sample_fixed,420,0.11666667,1.9704,1.8000,0,28.8851,2.5088
sample_fixed,420,0.11666667,1.9704,1.9000,0,29.0895,2.1958
sample_surface,420,0.11666667,1.9704,1.9704,1,29.2603,1.5614
sample_fixed,480,0.13333333,1.9661,0.0000,0,28.0315,2.5500
sample_fixed,480,0.13333333,1.9661,0.1000,0,28.0325,2.5500
sample_fixed,480,0.13333333,1.9661,0.2000,0,28.0357,2.5500
sample_fixed,480,0.13333333,1.9661,0.3000,0,28.0412,2.5500
sample_fixed,480,0.13333333,1.9661,0.4000,0,28.0494,2.5500
sample_fixed,480,0.13333333,1.9661,0.5000,0,28.0607,2.5500
sample_fixed,480,0.13333333,1.9661,0.6000,0,28.0759,2.5500
sample_fixed,480,0.13333333,1.9661,0.7000,0,28.0958,2.5500
