task,parameter,value,time_h,radius_cm,moisture_kgkg,base_moisture_kgkg,abs_dC_kgkg
3,picard_tol,tighten100x,6,0.0,1.016918353,1.016918353,2.167155344e-13
3,picard_tol,tighten100x,6,0.5,0.988092591,0.988092591,1.231237334e-13
3,picard_tol,tighten100x,6,1.0,0.901494144,0.901494144,1.021405183e-13
3,picard_tol,tighten100x,6,1.5,0.7549981068,0.7549981068,6.661338148e-15
3,picard_tol,tighten100x,6,2.0,0.5328104589,0.5328104589,1.340039191e-13
3,picard_tol,tighten100x,12,0.0,0.4561026227,0.4561026227,1.397215676e-13
3,picard_tol,tighten100x,12,0.5,0.4431202549,0.4431202549,1.456057497e-13
3,picard_tol,tighten100x,12,1.0,0.403039439,0.403039439,1.140754158e-13
3,picard_tol,tighten100x,12,1.5,0.3297138257,0.3297138257,7.038813976e-14
3,picard_tol,tighten100x,12,2.0,0.1641796999,0.1641796999,9.398037903e-14
3,picard_tol,tighten100x,18,0.0,0.2988106787,0.2988106787,6.106226635e-16
3,picard_tol,tighten100x,18,0.5,0.2915213656,0.2915213656,1.748601264e-14
3,picard_tol,tighten100x,18,1.0,0.2686856447,0.2686856447,2.459144e-14
3,picard_tol,tighten100x,18,1.5,0.2252839457,0.2252839457,3.205768984e-14
3,picard_tol,tighten100x,18,2.0,0.08446301595,0.08446301595,1.720845688e-14
3,picard_tol,tighten100x,24,0.0,0.2377772303,0.2377772303,1.540434447e-14
3,picard_tol,tighten100x,24,0.5,0.2327185184,0.2327185184,7.299716387e-15
3,picard_tol,tighten100x,24,1.0,0.2167088562,0.2167088562,2.414735079e-15
3,picard_tol,tighten100x,24,1.5,0.1855418002,0.1855418002,1.112998582e-14
3,picard_tol,tighten100x,24,2.0,0.06645901303,0.06645901303,5.223599331e-14
3,picard_tol,tighten100x,30,0.0,0.2058085055,0.2058085055,1.093569679e-14
3,picard_tol,tighten100x,30,0.5,0.2018309574,0.2018309574,1.33226763e-15
3,picard_tol,tighten100x,30,1.0,0.1891572348,0.1891572348,3.497202528e-15
3,picard_tol,tighten100x,30,1.5,0.164091905,0.164091905,1.340594302e-14
3,picard_tol,tighten100x,30,2.0,0.05982931487,0.05982931487,1.030425745e-14
3,picard_tol,tighten100x,36,0.0,0.1858673787,0.1858673787,1.471045508e-15
3,picard_tol,tighten100x,36,0.5,0.1825205841,0.1825205841,8.937295348e-15
3,picard_tol,tighten100x,36,1.0,0.1718059543,0.1718059543,5.578870699e-15
3,picard_tol,tighten100x,36,1.5,0.150380039,0.150380039,2.228772722e-14
3,picard_tol,tighten100x,36,2.0,0.05664003939,0.05664003939,1.563263408e-13
3,picard_tol,tighten100x,42,0.0,0.172059253,0.172059253,7.438494265e-15
3,picard_tol,tighten100x,42,0.5,0.1691267457,0.1691267457,1.612598943e-14
3,picard_tol,tighten100x,42,1.0,0.1597052717,0.1597052717,2.256528298e-14
3,picard_tol,tighten100x,42,1.5,0.1407096028,0.1407096028,5.556666238e-14
3,picard_tol,tighten100x,42,2.0,0.05484655241,0.05484655241,3.696348783e-14
3,picard_tol,tighten100x,48,0.0,0.161823124,0.161823124,2.445266212e-14
3,picard_tol,tighten100x,48,0.5,0.1591849252,0.1591849252,2.01505479e-14
3,picard_tol,tighten100x,48,1.0,0.1506856479,0.1506856479,2.220446049e-14
3,picard_tol,tighten100x,48,1.5,0.1334387185,0.1334387185,4.191091918e-14
3,picard_tol,tighten100x,48,2.0,0.05372914067,0.05372914067,1.952604745e-14
3,picard_tol,tighten100x,54,0.0,0.1538644483,0.1538644483,2.053912596e-14
3,picard_tol,tighten100x,54,0.5,0.151447147,0.151447147,1.906808045e-14
3,picard_tol,tighten100x,54,1.0,0.1436421867,0.1436421867,2.2759572e-14
3,picard_tol,tighten100x,54,1.5,0.1277214711,0.1277214711,4.585221092e-14
3,picard_tol,tighten100x,54,2.0,0.05298082764,0.05298082764,3.048256092e-14
