task,parameter,value,time_h,radius_cm,moisture_kgkg,base_moisture_kgkg,abs_dC_kgkg
3,time_step_long_s,5,6,0.0,1.016918362,1.016918353,8.8955876e-09
3,time_step_long_s,5,6,0.5,0.9880925997,0.988092591,8.665386853e-09
3,time_step_long_s,5,6,1.0,0.9014941521,0.901494144,8.036421417e-09
3,time_step_long_s,5,6,1.5,0.7549981139,0.7549981068,7.116636724e-09
3,time_step_long_s,5,6,2.0,0.5328104728,0.5328104589,1.396897731e-08
3,time_step_long_s,5,12,0.0,0.4561026314,0.4561026227,8.693104625e-09
3,time_step_long_s,5,12,0.5,0.4431202633,0.4431202549,8.479010882e-09
3,time_step_long_s,5,12,1.0,0.4030394469,0.403039439,7.854124962e-09
3,time_step_long_s,5,12,1.5,0.3297138326,0.3297138257,6.91158164e-09
3,time_step_long_s,5,12,2.0,0.1641797066,0.1641796999,6.777988865e-09
3,time_step_long_s,5,18,0.0,0.298810683,0.2988106787,4.358303995e-09
3,time_step_long_s,5,18,0.5,0.2915213698,0.2915213656,4.203015325e-09
3,time_step_long_s,5,18,1.0,0.2686856484,0.2686856447,3.725959929e-09
3,time_step_long_s,5,18,1.5,0.2252839485,0.2252839457,2.867261262e-09
3,time_step_long_s,5,18,2.0,0.08446301791,0.08446301595,1.954970547e-09
3,time_step_long_s,5,24,0.0,0.2377772327,0.2377772303,2.314368253e-09
3,time_step_long_s,5,24,0.5,0.2327185207,0.2327185184,2.230828439e-09
3,time_step_long_s,5,24,1.0,0.2167088581,0.2167088562,1.974721275e-09
3,time_step_long_s,5,24,1.5,0.1855418017,0.1855418002,1.51379137e-09
3,time_step_long_s,5,24,2.0,0.06645901364,0.06645901303,6.144689757e-10
3,time_step_long_s,5,30,0.0,0.2058085069,0.2058085055,1.41896403e-09
3,time_step_long_s,5,30,0.5,0.2018309588,0.2018309574,1.371126712e-09
3,time_step_long_s,5,30,1.0,0.1891572361,0.1891572348,1.22356103e-09
3,time_step_long_s,5,30,1.5,0.164091906,0.164091905,9.538261292e-10
3,time_step_long_s,5,30,2.0,0.05982931514,0.05982931487,2.730616566e-10
3,time_step_long_s,5,36,0.0,0.1858673797,0.1858673787,9.66481617e-10
3,time_step_long_s,5,36,0.5,0.1825205851,0.1825205841,9.358876452e-10
3,time_step_long_s,5,36,1.0,0.1718059551,0.1718059543,8.409359598e-10
3,time_step_long_s,5,36,1.5,0.1503800397,0.150380039,6.648809836e-10
3,time_step_long_s,5,36,2.0,0.05664003954,0.05664003939,1.457420087e-10
3,time_step_long_s,5,42,0.0,0.1720592537,0.172059253,7.071534192e-10
3,time_step_long_s,5,42,0.5,0.1691267464,0.1691267457,6.858856538e-10
3,time_step_long_s,5,42,1.0,0.1597052723,0.1597052717,6.195753355e-10
3,time_step_long_s,5,42,1.5,0.1407096033,0.1407096028,4.952049049e-10
3,time_step_long_s,5,42,2.0,0.05484655249,0.05484655241,8.767374327e-11
3,time_step_long_s,5,48,0.0,0.1618231246,0.161823124,5.442144513e-10
3,time_step_long_s,5,48,0.5,0.1591849258,0.1591849252,5.285208104e-10
3,time_step_long_s,5,48,1.0,0.1506856484,0.1506856479,4.79402823e-10
3,time_step_long_s,5,48,1.5,0.1334387188,0.1334387185,3.864419618e-10
3,time_step_long_s,5,48,2.0,0.05372914073,0.05372914067,5.714868856e-11
3,time_step_long_s,5,54,0.0,0.1538644487,0.1538644483,4.346836224e-10
3,time_step_long_s,5,54,0.5,0.1514471474,0.151447147,4.225863826e-10
3,time_step_long_s,5,54,1.0,0.1436421871,0.1436421867,3.845924135e-10
3,time_step_long_s,5,54,1.5,0.1277214714,0.1277214711,3.121632675e-10
3,time_step_long_s,5,54,2.0,0.05298082768,0.05298082764,3.957496136e-11
