task,parameter,value,time_s,radius_cm,temperature_C,moisture_kgkg,base_temperature_C,base_moisture_kgkg,abs_dT_C,abs_dC_kgkg
1,rtol,1e-10,100,0.0,28.00005348,2.55,28.00005349,2.55,6.997353807e-10,0
1,rtol,1e-10,100,0.5,28.00034789,2.55,28.00034788,2.55,2.635900387e-09,0
1,rtol,1e-10,100,1.0,28.00404685,2.55,28.00404684,2.55,1.378368353e-08,0
1,rtol,1e-10,100,1.5,28.03270046,2.54999994,28.03270063,2.54999994,1.6406808e-07,1.749573819e-10
1,rtol,1e-10,100,2.0,28.18004785,2.247511408,28.18004776,2.247511329,9.373408005e-08,7.94584869e-08
1,rtol,1e-10,300,0.0,28.04079691,2.55,28.04079694,2.55,3.004014459e-08,0
1,rtol,1e-10,300,0.5,28.06349259,2.55,28.06349263,2.55,4.457954361e-08,0
1,rtol,1e-10,300,1.0,28.15139668,2.549999999,28.15139665,2.549999999,3.304720053e-08,2.147615419e-12
1,rtol,1e-10,300,1.5,28.36806247,2.549189032,28.36806285,2.549189033,3.810831153e-07,1.052427034e-09
1,rtol,1e-10,300,2.0,28.84882329,2.051044462,28.84881558,2.051044463,7.717009559e-06,6.942717512e-10
1,rtol,1e-10,600,0.0,28.45333598,2.55,28.45333609,2.55,1.03430569e-07,4.440892099e-16
1,rtol,1e-10,600,0.5,28.53603503,2.55,28.53603512,2.55,9.647161647e-08,1.998401444e-13
1,rtol,1e-10,600,1.0,28.80394335,2.549988272,28.80394358,2.549988272,2.356482192e-07,1.379323322e-10
1,rtol,1e-10,600,1.5,29.31590689,2.535259357,29.31590708,2.535259358,1.923241193e-07,4.681481869e-10
1,rtol,1e-10,600,2.0,30.16520991,1.877073607,30.16521491,1.877073612,5.004535392e-06,5.236797662e-09
1,rtol,1e-10,900,0.0,29.32429826,2.55,29.32429849,2.55,2.336194029e-07,3.863576126e-14
1,rtol,1e-10,900,0.5,29.45825287,2.549999787,29.45825325,2.549999787,3.862845332e-07,9.750866781e-12
1,rtol,1e-10,900,1.0,29.87545189,2.549681191,29.87545246,2.549681191,5.694576934e-07,2.64885891e-11
1,rtol,1e-10,900,1.5,30.61613453,2.504537434,30.6161349,2.504537433,3.660783818e-07,1.04860165e-09
1,rtol,1e-10,900,2.0,31.7303889,1.754785109,31.73040903,1.754785105,2.013105655e-05,3.869883525e-09
1,rtol,1e-10,1200,0.0,30.54272033,2.549999979,30.54272104,2.549999979,7.16083111e-07,1.151079232e-12
1,rtol,1e-10,1200,0.5,30.70976907,2.549992853,30.70976984,2.549992853,7.703583691e-07,2.486011397e-11
1,rtol,1e-10,1200,1.0,31.22234632,2.548174181,31.22234702,2.548174181,6.993219479e-07,1.737499034e-10
1,rtol,1e-10,1200,1.5,32.11255233,2.464572388,32.11255291,2.464572387,5.760018951e-07,7.734572982e-10
1,rtol,1e-10,1200,2.0,33.42762418,1.658607498,33.4276214,1.658607497,2.779709227e-06,9.323410932e-10
1,rtol,1e-10,1500,0.0,31.99571982,2.54999929,31.99572032,2.54999929,4.946287433e-07,7.471800956e-12
1,rtol,1e-10,1500,0.5,32.18673292,2.549937227,32.1867334,2.549937227,4.762787e-07,3.038458374e-11
1,rtol,1e-10,1500,1.0,32.76601783,2.544532432,32.76601828,2.544532432,4.499330331e-07,1.954840734e-10
1,rtol,1e-10,1500,1.5,33.74627304,2.420620207,33.74627302,2.420620206,1.881529244e-08,6.304086142e-10
1,rtol,1e-10,1500,2.0,35.12026351,1.578759559,35.12026664,1.578759557,3.136531049e-06,2.061290028e-09
1,rtol,1e-10,1800,0.0,33.57534251,2.549992274,33.57534276,2.549992274,2.460382262e-07,1.84998683e-11
1,rtol,1e-10,1800,0.5,33.77199975,2.549722365,33.77199996,2.549722365,2.105341821e-07,2.827604817e-11
1,rtol,1e-10,1800,1.0,34.36415868,2.538289537,34.36415896,2.538289537,2.762953173e-07,1.206004185e-10
1,rtol,1e-10,1800,1.5,35.36212103,2.375483694,35.36212092,2.375483694,1.139853012e-07,3.68115316e-10
1,rtol,1e-10,1800,2.0,36.78555611,1.51026162,36.78555638,1.510261619,2.730968305e-07,1.009619055e-09
